table	anon_status	anon_count	svc_count	verdict	anon_err
amazon_arbitrage_pricing	200	0	204870	likely_protected	
amazon_inventory_resolution_queue	200	0	115	likely_protected	
amazon_product_cache	200	0	254	likely_protected	
amazon_settlements	200	0	0	empty_or_protected	
amazon_sync_config	200	0	1	likely_protected	
amazon_sync_feed_items	200	0	918	likely_protected	
amazon_sync_feeds	200	0	145	likely_protected	
amazon_sync_log	200	0	134	likely_protected	
amazon_sync_queue	200	0	0	empty_or_protected	
amazon_transactions	200	0	2851	likely_protected	
arbitrage_sync_status	200	0	6	likely_protected	
arbitrage_watchlist	200	0	6428	likely_protected	
asin_bricklink_mapping	200	0	2548	likely_protected	
bricklink_arbitrage_pricing	200	0	69921	likely_protected	
bricklink_part_price_cache	200	0	7659	likely_protected	
bricklink_store_listings	200	0	0	empty_or_protected	
bricklink_sync_config	200	0	1	likely_protected	
bricklink_sync_log	200	0	102	likely_protected	
bricklink_transactions	200	0	821	likely_protected	
bricklink_upload_sync_config	200	0	1	likely_protected	
bricklink_upload_sync_log	200	0	8	likely_protected	
bricklink_uploads	200	0	206	likely_protected	
brickowl_sync_config	200	0	1	likely_protected	
brickowl_sync_log	200	0	110	likely_protected	
brickowl_transactions	200	0	41	likely_protected	
brickset_api_credentials	200	0	1	likely_protected	
brickset_sets	206	28280	28280	error	
bricqer_inventory_snapshot	200	0	24305	likely_protected	
bricqer_snapshot_meta	200	0	1	likely_protected	
bricqer_stats_cache	200	0	1	likely_protected	
browser_action_log	200	0	0	empty_or_protected	
browser_sessions	200	0	0	empty_or_protected	
cache_metadata	200	0	2	likely_protected	
chat_mentions	200	0	0	empty_or_protected	
chat_messages	206	10	10	error	
chat_reactions	206	2	2	error	
chat_read_cursors	200	0	1	likely_protected	
cost_model_package_costs	200	0	12	likely_protected	
cost_model_scenarios	200	0	2	likely_protected	
cron_progress	200	0	1	likely_protected	
delivery_tracking_cache	200	0	59	likely_protected	
ebay_auction_alerts	200	0	2995	likely_protected	
ebay_auction_config	200	0	1	likely_protected	
ebay_auction_scan_log	200	0	3876	likely_protected	
ebay_business_policies	200	0	12	likely_protected	
ebay_credentials	200	0	1	likely_protected	
ebay_inventory_resolution_queue	200	0	369	likely_protected	
ebay_listing_categories	200	0	288	likely_protected	
ebay_listing_refresh_items	200	0	301	likely_protected	
ebay_listing_refreshes	200	0	16	likely_protected	
ebay_order_line_items	200	0	1324	likely_protected	
ebay_orders	200	0	1280	likely_protected	
ebay_payouts	200	0	132	likely_protected	
ebay_pricing	200	0	88645	likely_protected	
ebay_promoted_listings_schedules	200	0	3	likely_protected	
ebay_promoted_listings_stages	200	0	6	likely_protected	
ebay_shipping_fulfilments	200	0	1228	likely_protected	
ebay_sku_mappings	200	0	1	likely_protected	
ebay_sync_config	200	0	1	likely_protected	
ebay_sync_log	200	0	1820	likely_protected	
ebay_transactions	200	0	9253	likely_protected	
energy_billing	206	2	2	error	
energy_consumption	206	13056	13056	error	
energy_daily_summary	206	274	274	error	
energy_tariffs	206	279	279	error	
evening_clubs	206	13	13	error	
excluded_bricklink_stores	200	0	0	empty_or_protected	
excluded_ebay_listings	200	0	14470	likely_protected	
financial_transactions	200	0	0	empty_or_protected	
garmin_daily_summary	206	91	91	error	
garmin_sleep	206	19	19	error	
gemini_api_usage	206	36408	36408	error	
generated_listings	200	0	0	empty_or_protected	
golden_tickets	200	0	0	empty_or_protected	
google_calendar_credentials	200	0	1	likely_protected	
group_matches	206	72	72	error	
group_predictions	200	0	8	likely_protected	
group_results	200	0	0	empty_or_protected	
group_teams	206	80	80	error	
groups	206	20	20	error	
home_costs	200	0	4	likely_protected	
home_costs_settings	200	0	1	likely_protected	
honours	206	11	11	error	
instagram_content_ideas	200	0	33	likely_protected	
instagram_news_items	200	0	12	likely_protected	
instagram_posts	200	0	10	likely_protected	
instagram_stories	200	0	9	likely_protected	
inventory_items	200	0	5968	likely_protected	
inventory_weekly_snapshots	200	0	8	likely_protected	
investment_historical	206	9541	9541	error	
investment_model_runs	206	4	4	error	
investment_predictions	206	1034	1034	error	
investment_training_data	206	2675	2675	error	
job_execution_history	200	0	31211	likely_protected	
knockout_matches	206	46	46	error	
knockout_predictions	200	0	0	empty_or_protected	
knockout_round_config	206	9	9	error	
knowledge_chunks	206	20800	20800	error	
knowledge_connections	206	33883	33883	error	
knowledge_items	206	10236	10236	error	
listing_applied_suggestions	200	0	71	likely_protected	
listing_assistant_settings	200	0	1	likely_protected	
listing_creation_audit	200	0	103	likely_protected	
listing_local_drafts	200	0	7	likely_protected	
listing_preview_sessions	200	0	66	likely_protected	
listing_quality_reviews	200	0	60	likely_protected	
listing_templates	200	0	3	likely_protected	
markdown_config	200	0	1	likely_protected	
markdown_proposals	200	0	582	likely_protected	
meal_favourites	206	7	7	error	
meal_history	200	0	0	empty_or_protected	
meal_plan_ingredients	206	29	29	error	
meal_plan_items	206	72	72	error	
meal_plan_preferences	200	0	0	empty_or_protected	
meal_plan_templates	200	0	0	empty_or_protected	
meal_plans	206	7	7	error	
meal_presets	206	3	3	error	
mileage_tracking	200	0	35	likely_protected	
minifig_price_cache	200	0	265	likely_protected	
minifig_removal_queue	200	0	12	likely_protected	
minifig_sync_config	200	0	10	likely_protected	
minifig_sync_items	200	0	281	likely_protected	
minifig_sync_jobs	200	0	5601	likely_protected	
monzo_credentials	200	0	0	empty_or_protected	
monzo_sync_log	200	0	90	likely_protected	
monzo_transactions	200	0	4125	likely_protected	
mtd_export_history	200	0	1	likely_protected	
negotiation_config	200	0	1	likely_protected	
negotiation_discount_rules	200	0	4	likely_protected	
negotiation_offers	200	0	1425	likely_protected	
nutrition_logs	206	263	263	error	
off_system_task_presets	200	0	8	likely_protected	
order_items	200	0	6596	likely_protected	
order_status_history	200	0	0	empty_or_protected	
paypal_credentials	200	0	1	likely_protected	
paypal_sync_config	200	0	1	likely_protected	
paypal_sync_log	200	0	71	likely_protected	
paypal_transactions	200	0	869	likely_protected	
picklist_snapshots	206	2	2	error	
platform_credentials	200	0	5	likely_protected	
platform_listing_imports	200	0	134	likely_protected	
platform_listings	200	0	1047	likely_protected	
platform_orders	200	0	2561	likely_protected	
platform_store_status	200	0	1137	likely_protected	
player_achievements	200	0	0	empty_or_protected	
players	206	4	6	error	
pomodoro_sessions	200	0	0	empty_or_protected	
posts	200	0	0	empty_or_protected	
price_snapshots	206	1252729	1252729	error	
processed_purchase_emails	200	0	289	likely_protected	
profiles	200	0	8	likely_protected	
pundit_snippets	200	0	0	empty_or_protected	
purchase_evaluation_items	200	0	117	likely_protected	
purchase_evaluations	200	0	8	likely_protected	
purchase_images	200	0	20	likely_protected	
purchase_limits	200	0	3	likely_protected	
purchase_log	200	0	0	empty_or_protected	
purchases	200	0	798	likely_protected	
reminders	206	39	39	error	
repricing_pricing_cache	200	0	138	likely_protected	
retirement_sources	206	21814	21814	error	
sale_items	200	0	0	empty_or_protected	
sales	200	0	0	empty_or_protected	
scanner_pieces	200	0	0	empty_or_protected	
scanner_sessions	200	0	2	likely_protected	
scanner_set_check_progress	200	0	0	empty_or_protected	
scanner_set_check_sessions	200	0	0	empty_or_protected	
school_events	200	0	28	likely_protected	
school_inset_days	200	0	10	likely_protected	
school_newsletters	200	0	26	likely_protected	
school_spellings	206	37	37	error	
school_term_date_pdfs	200	0	5	likely_protected	
school_term_dates	200	0	18	likely_protected	
scraped_metrics	200	0	15	likely_protected	
seeded_asin_rankings	200	0	0	empty_or_protected	
seeded_asins	200	0	16536	likely_protected	
service_api_keys	200	0	4	likely_protected	
shopify_config	200	0	1	likely_protected	
shopify_description_cache	200	0	635	likely_protected	
shopify_products	200	0	966	likely_protected	
shopify_sync_log	200	0	331	likely_protected	
shopify_sync_queue	200	0	0	empty_or_protected	
shopping_staples	206	17	17	error	
spelling_sentences	206	164	164	error	
spelling_test_results	206	11	11	error	
stock_pickups	200	0	1	likely_protected	
sync_audit_log	200	0	192	likely_protected	
task_attachments	200	0	0	empty_or_protected	
task_categories	206	12	12	error	
task_category_links	206	6	6	error	
task_comments	206	2	2	error	
task_history	206	89	89	error	
task_reminders	200	0	0	empty_or_protected	
tasks	206	63	63	error	
teams	206	60	60	error	
time_daily_summaries	200	0	1	likely_protected	
time_entries	200	0	2	likely_protected	
tournament_entries	200	0	1	likely_protected	
tournament_stats	200	0	2	likely_protected	
tournaments	206	3	3	error	
tracked_asins	200	0	2669	likely_protected	
transaction_tags	200	0	0	empty_or_protected	
user_goals	206	1	1	error	
user_seeded_asin_preferences	200	0	6969	likely_protected	
user_settings	200	0	1	likely_protected	
vinted_collections_reported	206	239	239	error	
vinted_dom_selectors	206	8	8	error	
vinted_opportunities	200	0	0	empty_or_protected	
vinted_scan_log	200	0	28	likely_protected	
vinted_scanner_config	206	1	1	error	
vinted_seller_messages	200	0	84	likely_protected	
vinted_watchlist	206	100	100	error	
vinted_watchlist_exclusions	200	0	0	empty_or_protected	
vinted_watchlist_stats	200	0	100	likely_protected	
weight_readings	206	21	21	error	
workflow_config	200	0	1	likely_protected	
workflow_task_definitions	200	0	26	likely_protected	
workflow_task_instances	200	0	734	likely_protected	
youtube_shown_videos	206	612	612	error	
